pair0,pair1,idx
101,32,256
46,32,257
32,116,258
116,32,259
115,32,260
111,117,261
105,110,262
101,114,263
258,104,264
111,32,265
100,32,266
97,110,267
111,109,268
121,32,269
111,110,270
257,73,271
257,84,272
97,114,273
121,261,274
101,110,275
104,97,276
262,103,277
105,260,278
111,114,279
264,256,280
32,119,281
116,104,282
258,265,283
108,108,284
97,32,285
115,116,286
268,32,287
63,32,288
101,97,289
104,256,290
271,32,291
101,266,292
118,256,293
39,259,294
111,119,295
108,105,296
274,32,297
101,100,298
101,115,299
97,116,300
111,102,301
277,32,302
272,287,303
257,87,304
263,32,305
99,104,306
105,115,307
284,32,308
257,72,309
105,116,310
97,260,311
111,111,312
105,109,313
39,260,314
102,279,315
114,101,316
256,116,317
108,101,318
97,121,319
107,32,320
115,101,321
97,259,322
73,32,323
103,104,324
117,115,325
267,32,326
97,108,327
114,105,328
97,115,329
104,263,330
100,111,331
100,105,332
104,101,333
32,109,334
118,263,335
98,101,336
104,278,337
256,119,338
276,293,339
276,259,340
44,32,341
110,101,342
110,294,343
262,32,344
110,111,345
108,266,346
89,261,347
110,295,348
109,32,349
105,99,350
103,111,351
257,83,352
258,111,353
114,32,354
272,290,355
275,32,356
271,39,357
270,294,358
114,111,359
107,256,360
77,273,361
117,110,362
267,116,363
112,108,364
105,282,365
301,32,366
257,347,367
309,256,368
114,289,369
97,99,370
115,104,371
108,111,372
97,98,373
109,101,374
264,322,375
117,114,376
101,260,377
257,68,378
267,266,379
288,84,380
275,116,381
107,348,382
105,259,383
105,114,384
273,256,385
101,116,386
98,256,387
270,32,388
109,256,389
315,32,390
108,100,391
105,100,392
261,346,393
317,265,394
104,313,395
352,290,396
274,354,397
99,268,398
114,97,399
97,269,400
100,358,401
114,256,402
99,97,403
112,112,404
101,108,405
345,259,406
84,268,407
105,308,408
112,32,409
100,319,410
271,281,411
298,283,412
109,97,413
261,259,414
109,269,415
100,265,416
335,269,417
105,270,418
115,112,419
365,32,420
276,116,421
103,101,422
361,269,423
272,268,424
324,116,425
105,108,426
264,278,427
98,117,428
115,97,429
102,97,430
115,268,431
257,65,432
102,101,433
357,349,434
367,32,435
324,259,436
304,104,437
119,311,438
262,280,439
312,107,440
330,256,441
99,267,442
116,263,443
98,111,444
270,101,445
102,32,446
257,77,447
306,32,448
115,256,449
84,287,450
101,273,451
270,256,452
332,100,453
288,73,454
296,360,455
39,402,456
270,103,457
282,263,458
97,103,459
109,111,460
363,283,461
276,260,462
264,262,463
97,284,464
117,108,465
325,259,466
304,256,467
102,114,468
277,283,469
330,101,470
119,279,471
281,311,472
267,100,473
263,256,474
288,323,475
361,121,476
99,273,477
258,313,478
282,305,479
118,305,480
112,111,481
104,111,482
101,109,483
101,120,484
108,289,485
272,333,486
378,265,487
261,110,488
119,32,489
108,269,490
109,279,491
296,107,492
267,121,493
272,337,494
101,286,495
295,32,496
115,117,497
99,116,498
110,32,499
275,100,500
117,116,501
453,343,502
271,259,503
276,266,504
267,103,505
331,299,506
99,326,507
261,116,508
274,281,509
99,101,510
304,340,511
112,101,512
257,67,513
108,256,514
97,262,515
115,105,516
267,269,517
116,116,518
107,101,519
282,256,520
380,287,521
97,100,522
115,259,523
282,302,524
271,116,525
112,114,526
105,266,527
99,111,528
291,401,529
104,305,530
442,294,531
114,121,532
99,270,533
275,259,534
117,112,535
276,404,536
312,320,537
100,263,538
112,273,539
264,300,540
113,117,541
103,312,542
333,108,543
303,278,544
97,308,545
108,97,546
334,269,547
506,343,548
447,269,549
486,269,550
288,87,551
422,259,552
431,101,553
301,280,554
298,280,555
261,391,556
119,319,557
382,32,558
299,115,559
108,329,560
282,277,561
104,261,562
267,259,563
307,104,564
335,121,565
270,280,566
258,97,567
285,98,568
463,320,569
332,266,570
100,101,571
115,111,572
116,265,573
102,328,574
99,256,575
112,263,576
373,414,577
281,104,578
112,359,579
257,76,580
327,107,581
288,72,582
100,114,583
105,425,584
525,314,585
118,101,586
101,308,587
105,293,588
100,269,589
102,262,590
353,280,591
468,287,592
104,268,593
257,80,594
108,121,595
39,308,596
487,297,597
114,275,598
103,265,599
105,284,600
261,436,601
321,256,602
115,265,603
289,116,604
98,269,605
108,440,606
291,339,607
114,117,608
279,32,609
115,290,610
395,32,611
115,283,612
119,420,613
110,265,614
109,98,615
97,102,616
106,111,617
105,103,618
264,101,619
286,117,620
321,108,621
111,112,622
107,292,623
421,314,624
39,116,625
106,466,626
117,409,627
110,103,628
119,101,629
419,289,630
424,281,631
428,259,632
105,102,633
273,100,634
98,318,635
39,115,636
542,266,637
108,457,638
281,420,639
97,293,640
121,451,641
39,293,642
312,108,643
103,386,644
119,104,645
338,311,646
378,358,647
98,370,648
115,119,649
351,469,650
109,117,651
351,259,652
280,116,653
371,393,654
274,114,655
342,480,656
345,116,657
556,343,658
278,285,659
574,500,660
108,300,661
257,78,662
119,340,663
105,446,664
114,295,665
107,302,666
437,269,667
336,356,668
97,109,669
97,349,670
341,632,671
105,391,672
97,112,673
115,376,674
284,269,675
101,259,676
119,461,677
301,102,678
33,32,679
100,295,680
116,111,681
317,111,682
369,100,683
100,256,684
543,112,685
39,349,686
105,286,687
334,101,688
99,107,689
333,273,690
307,280,691
398,256,692
299,259,693
536,275,694
369,675,695
281,340,696
115,306,697
285,372,698
300,418,699
257,69,700
478,256,701
431,256,702
111,364,703
109,262,704
73,281,705
357,308,706
273,328,707
261,324,708
310,256,709
70,598,710
325,256,711
560,259,712
275,266,713
304,101,714
327,32,715
362,538,716
101,112,717
114,269,718
279,116,719
491,256,720
101,565,721
115,319,722
288,83,723
327,557,724
594,485,725
264,307,726
697,643,727
103,117,728
300,280,729
105,388,730
102,102,731
342,489,732
593,101,733
367,456,734
380,290,735
98,359,736
357,293,737
258,581,738
353,265,739
258,587,740
66,111,741
331,103,742
359,268,743
492,394,744
98,440,745
364,319,746
99,372,747
567,360,748
432,402,749
101,118,750
258,119,751
459,515,752
119,365,753
260,385,754
102,384,755
471,107,756
478,101,757
99,393,758
261,115,759
272,340,760
316,256,761
724,260,762
373,508,763
309,496,764
512,703,765
282,32,766
264,326,767
104,295,768
98,325,769
112,117,770
413,360,771
445,121,772
413,684,773
97,258,774
100,400,775
399,262,776
296,371,777
289,259,778
339,573,779
112,316,780
307,343,781
288,347,782
264,263,783
433,405,784
370,116,785
621,102,786
97,281,787
109,263,788
118,307,789
118,292,790
118,105,791
318,273,792
286,273,793
306,672,794
318,102,795
101,314,796
110,584,797
741,286,798
582,256,799
303,548,800
513,326,801
289,306,802
116,443,803
261,354,804
115,291,805
270,490,806
336,315,807
716,286,808
279,665,809
116,121,810
110,97,811
115,270,812
288,68,813
99,392,814
617,98,815
101,284,816
105,354,817
342,292,818
364,267,819
119,363,820
264,601,821
463,107,822
110,277,823
368,278,824
495,263,825
299,256,826
272,441,827
620,100,828
116,305,829
285,296,830
101,417,831
725,449,832
112,97,833
416,297,834
98,108,835
97,404,836
300,256,837
372,293,838
257,71,839
444,589,840
69,628,841
353,346,842
698,259,843
103,588,844
285,109,845
101,480,846
393,297,847
101,291,848
329,623,849
119,474,850
111,479,851
353,410,852
749,297,853
338,104,854
100,307,855
112,104,856
579,635,857
336,296,858
104,289,859
117,286,860
119,408,861
317,340,862
119,329,863
364,289,864
386,314,865
118,377,866
376,110,867
101,101,868
350,107,869
74,673,870
114,299,871
710,306,872
286,408,873
119,114,874
570,297,875
488,116,876
291,531,877
488,266,878
268,809,879
273,32,880
300,306,881
118,302,882
841,777,883
262,443,884
384,108,885
543,409,886
518,514,887
648,107,888
271,446,889
765,256,890
121,825,891
