pair0,pair1,idx
101,32,256
97,32,257
46,32,258
111,32,259
115,32,260
101,110,261
101,114,262
97,114,263
101,115,264
113,117,265
111,109,266
110,32,267
108,32,268
111,258,269
100,256,270
111,114,271
111,260,272
195,173,273
97,110,274
97,100,275
195,179,276
101,260,277
264,116,278
265,256,279
195,161,280
108,257,281
195,169,282
97,258,283
84,266,284
115,116,285
97,98,286
99,105,287
284,32,288
261,32,289
111,110,290
63,32,291
97,260,292
97,115,293
97,108,294
121,32,295
261,116,296
117,110,297
101,268,298
100,105,299
100,259,300
114,101,301
97,109,302
111,115,303
276,32,304
110,259,305
263,32,306
116,105,307
101,109,308
282,32,309
105,110,310
117,267,311
116,114,312
118,105,313
271,32,314
99,117,315
258,69,316
273,257,317
112,114,318
78,259,319
99,104,320
111,267,321
108,259,322
117,101,323
262,32,324
109,105,325
115,256,326
115,105,327
108,108,328
117,32,329
97,99,330
100,101,331
103,117,332
44,32,333
112,263,334
280,32,335
101,258,336
99,290,337
297,257,338
116,256,339
195,177,340
99,266,341
109,117,342
112,262,343
105,262,344
111,108,345
109,256,346
280,260,347
275,259,348
101,108,349
111,100,350
108,256,351
195,137,352
303,258,353
101,99,354
105,114,355
352,268,356
112,314,357
97,267,358
269,69,359
77,263,360
81,117,361
104,286,362
259,279,363
99,321,364
111,295,365
98,114,366
278,335,367
259,270,368
258,288,369
115,329,370
257,270,371
111,291,372
97,268,373
274,116,374
195,186,375
108,105,376
276,110,377
114,105,378
112,105,379
296,256,380
97,340,381
97,106,382
108,272,383
334,257,384
274,300,385
116,261,386
108,281,387
100,275,388
97,287,389
105,32,390
98,105,391
283,69,392
102,117,393
97,116,394
77,256,395
104,330,396
112,117,397
97,118,398
99,293,399
325,32,400
103,259,401
97,121,402
108,101,403
257,281,404
111,99,405
108,292,406
273,32,407
115,101,408
105,116,409
112,323,410
115,117,411
307,261,412
286,257,413
269,288,414
118,262,415
105,109,416
100,264,417
265,344,418
109,347,419
258,319,420
103,114,421
101,122,422
76,257,423
285,257,424
105,99,425
101,100,426
276,267,427
265,309,428
97,291,429
293,258,430
111,98,431
262,257,432
302,272,433
97,112,434
322,279,435
100,269,436
264,258,437
308,112,438
355,32,439
116,259,440
283,288,441
316,285,442
109,101,443
342,295,444
104,105,445
360,295,446
112,301,447
116,117,448
115,286,449
104,271,450
116,329,451
342,320,452
105,261,453
97,265,454
112,293,455
110,275,456
100,298,457
98,117,458
109,274,459
116,263,460
116,350,461
289,298,462
67,117,463
289,281,464
412,256,465
308,272,466
80,314,467
286,382,468
361,309,469
328,101,470
285,256,471
269,319,472
294,103,473
280,110,474
111,333,475
102,105,476
302,105,477
101,120,478
261,115,479
111,116,480
102,114,481
111,320,482
258,84,483
257,257,484
312,468,485
117,100,486
265,105,487
116,262,488
112,101,489
278,257,490
111,312,491
104,97,492
258,83,493
304,257,494
89,259,495
105,100,496
278,413,497
65,32,498
115,111,499
362,108,500
341,259,501
97,122,502
316,268,503
99,263,504
393,256,505
117,114,506
116,257,507
102,398,508
360,121,509
101,98,510
354,264,511
307,438,512
275,269,513
366,256,514
261,100,515
331,98,516
112,271,517
283,319,518
316,387,519
99,257,520
259,257,521
291,69,522
110,105,523
282,260,524
109,259,525
103,297,526
111,285,527
118,422,528
264,99,529
115,294,530
262,317,531
299,106,532
99,271,533
111,300,534
77,390,535
282,268,536
116,358,537
114,32,538
112,275,539
332,285,540
361,344,541
114,264,542
99,302,543
511,409,544
278,117,545
396,324,546
273,292,547
508,271,548
104,257,549
259,277,550
258,356,551
278,256,552
331,287,553
296,114,554
323,118,555
282,267,556
80,323,557
318,111,558
112,350,559
310,103,560
101,106,561
277,270,562
99,274,563
